full_tag,site_label,sts,wb,emi,raw_parameter,canonical_parameter,parameter_class,channel_group,event_count,source_zip_count,source_csv_count,coverage_start_raw,coverage_end_raw,timestamp_shape,zero_change_count,nonzero_change_count,deadband_estimate,deadband_support,deadband_support_fraction,deadband_relative_mad,deadband_confidence,deadband_lower_anomaly_count,deadband_unresolved_reason,interarrival_p50_s,interarrival_p90_s,interarrival_p99_s,max_gap_s,active_interval_count,active_interarrival_p50_s,active_interarrival_p90_s,active_interarrival_p99_s,max_active_gap_s,max_active_gap_start_ns,max_active_gap_end_ns,flat_or_night_interval_count,flat_interarrival_p50_s,flat_interarrival_p90_s,flat_interarrival_p99_s,observed_heartbeat_candidate_s,heartbeat_support,heartbeat_support_fraction,heartbeat_coefficient_of_variation,heartbeat_confidence,heartbeat_unresolved_reason,configured_max_report_time_status,sibling_events_during_max_active_gap,abs_delta_min,abs_delta_p01,abs_delta_p05,abs_delta_p50,abs_delta_p90,abs_delta_p99,event_count_before_integrity,event_count_after_integrity,exact_duplicate_count,timestamp_conflict_count,order_violation_count
PLTS IKN / STS02 / WB02_EMI05 / MEAS / Daily radiation,PLTS IKN,STS02,WB02,EMI05,Daily radiation,GHI Daily Acummulation,irradiance_accumulation,,319949,1,6,2026-06-01 06:02:25.134,2026-06-30 23:56:54.289,naive,100,319848,0.000278,187875,0.587388384,7.987216e-13,high,0,,3.031,6.077,22.761,22938.269,0,,,,,,,0,,,,,45,0.45,0.326186691,unresolved,no stable repeated-value interval cluster,unknown,0,0.000277,0.000277,0.000277,0.000278,0.000833,0.001111,319949,319949,0,0,1
PLTS IKN / STS02 / WB02_EMI05 / MEAS / Total Irradiance,PLTS IKN,STS02,WB02,EMI05,Total Irradiance,Global Horizontal Irradiance (GHI),instantaneous_irradiance,GHI,533171,1,9,2026-06-01 05:53:12.603,2026-06-30 23:52:08.111,naive,73,533097,0.1,145459,0.272856535,6.00000001e-05,high,0,,1.531,4.484,10.654,42682.023,529582,1.531,3.515,9.108,373.598,1.78143371e+18,1.78143408e+18,3588,10.623,27.26,9747.33971,,29,0.397260274,0.399469698,unresolved,no stable repeated-value interval cluster,unknown,0,0.099975,0.099976,0.099991,0.399964,7.600006,93,533171,533171,0,0,2
PLTS IKN / STS04 / WB04_EMI04 / MEAS / AMBIENT AIR HUMIDITY,PLTS IKN,STS04,WB04,EMI04,AMBIENT AIR HUMIDITY,AMBIENT AIR HUMIDITY,meteorological,,51921,1,1,2026-06-01 08:43:23.369,2026-06-30 21:30:56.174,naive,0,51920,0.099999,25257,0.486459938,1.00001e-05,high,0,,19.824,42.882,95.544,59351.962,0,,,,,,,0,,,,,0,0,,unresolved,insufficient same-value intervals,unknown,0,0.099998,0.099998,0.099998,0.199996,0.5,0.900001,51921,51921,0,0,0
PLTS IKN / STS04 / WB04_EMI04 / MEAS / AMBIENT AIR TEMP,PLTS IKN,STS04,WB04,EMI04,AMBIENT AIR TEMP,AMBIENT AIR TEMP,meteorological,,15738,1,1,2026-06-01 00:01:03.679,2026-06-30 23:57:21.393,naive,0,15737,0.1,11682,0.742327,9.99999997e-06,high,0,,115.477,324.5422,686.05024,1626.257,0,,,,,,,0,,,,,0,0,,unresolved,insufficient same-value intervals,unknown,0,0.099998,0.099998,0.099998,0.100001,0.200001,0.300001,15738,15738,0,0,0
PLTS IKN / STS04 / WB04_EMI04 / MEAS / DAILY RAINFALL,PLTS IKN,STS04,WB04,EMI04,DAILY RAINFALL,DAILY RAINFALL,meteorological,,213,1,1,2026-06-01 15:47:58.278,2026-06-30 23:59:00.108,naive,0,212,0.2,131,0.617924528,8.32667268e-16,high,5,,125.327,20178.8259,222209.453,602274.953,0,,,,,,,0,,,,,0,0,,unresolved,insufficient same-value intervals,unknown,0,0.1,0.1,0.2,0.2,1,9.267,213,213,0,0,0
PLTS IKN / STS04 / WB04_EMI04 / MEAS / DHI DAILY ACCUM,PLTS IKN,STS04,WB04,EMI04,DHI DAILY ACCUM,DHI Daily Acummulation,irradiance_accumulation,,16352,1,1,2026-06-01 06:24:06.612,2026-06-30 23:57:50.934,naive,0,16351,0.002778,7225,0.441868999,7.99296634e-14,high,0,,62.754,121.992,372.653,29375.871,0,,,,,,,0,,,,,0,0,,unresolved,insufficient same-value intervals,unknown,0,0.002777,0.002777,0.002777,0.005555,0.011112,0.016667,16352,16352,0,0,0
PLTS IKN / STS04 / WB04_EMI04 / MEAS / DHI MONTHLY ACCUM,PLTS IKN,STS04,WB04,EMI04,DHI MONTHLY ACCUM,DHI Monthly Acummulation,irradiance_accumulation,,346,1,1,2026-06-01 08:26:00.731,2026-06-30 23:57:47.669,naive,0,345,0.277778,344,0.997101449,3.59999712e-06,high,0,,2596.428,7357.6608,59434.7246,60683.174,0,,,,,,,0,,,,,0,0,,unresolved,insufficient same-value intervals,unknown,0,0.27777,0.27777,0.277775,0.277778,0.277779,0.277779,346,346,0,0,0
PLTS IKN / STS04 / WB04_EMI04 / MEAS / DHI YEARLY ACCUM,PLTS IKN,STS04,WB04,EMI04,DHI YEARLY ACCUM,DHI Yearly Acummulation,irradiance_accumulation,,343,1,1,2026-06-01 07:53:46.956,2026-06-30 16:16:46.917,naive,0,342,0.277771,342,1,0,high,0,,2583.436,6898.9636,60729.8595,62059.775,0,,,,,,,0,,,,,0,0,,unresolved,insufficient same-value intervals,unknown,0,0.277771,0.277771,0.277771,0.277771,0.277832,0.277832,343,343,0,0,0
PLTS IKN / STS04 / WB04_EMI04 / MEAS / DIFFUSE HORIZONTAL IRRADIANCE (DHI),PLTS IKN,STS04,WB04,EMI04,DIFFUSE HORIZONTAL IRRADIANCE (DHI),Diffuse Horizontal Irradiance (DHI),instantaneous_irradiance,DHI,51722,1,1,2026-06-01 06:11:24.997,2026-06-30 17:58:41.647,naive,0,51721,1,14521,0.280756366,0,high,0,,19.825,39.617,98.9968,48089.112,51721,19.825,39.617,98.9968,48089.112,1.7811148e+18,1.78116288e+18,0,,,,,0,0,,unresolved,insufficient same-value intervals,unknown,3,1,1,1,3,47,358,51722,51722,0,0,0
PLTS IKN / STS04 / WB04_EMI04 / MEAS / DIRECT HORIZONTAL IRRADIANCE (DNI*cosZ),PLTS IKN,STS04,WB04,EMI04,DIRECT HORIZONTAL IRRADIANCE (DNI*cosZ),Direct Horizontal Irradiance (DNIcosZ),instantaneous_irradiance,DNIcosZ,5875,1,1,2026-06-01 10:55:48.226,2026-06-30 14:41:12.423,naive,0,5874,1,1382,0.235274089,0,high,0,,19.825,46.2097,2212.08314,82717.517,5814,19.824,46.132,778.39919,82717.517,1.78117903e+18,1.78126175e+18,60,151.7515,8874.8121,73804.5392,,0,0,,unresolved,insufficient same-value intervals,unknown,2775,1,1,1,6,74,246,5875,5875,0,0,0
