source_zip,source_csv,full_tag,row_count,timestamp_shape,coverage_start_raw,coverage_end_raw,order_violation_count
trends_export_1783132798422.zip,trends_export_tmp1783132799266.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / AMBIENT AIR HUMIDITY,60000,naive,2026-06-01 00:00:05.331000,2026-06-23 21:18:59.439000,0
trends_export_1783132798422.zip,trends_export_tmp1783132799814.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / AMBIENT AIR HUMIDITY,19651,naive,2026-06-23 21:19:02.704000,2026-06-30 23:59:55.972000,0
trends_export_1783132807419.zip,trends_export_tmp1783132807833.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / AMBIENT AIR TEMP,13690,naive,2026-06-01 00:01:08.209000,2026-06-30 23:59:59.299000,0
trends_export_1783132813029.zip,trends_export_tmp1783132813308.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / DAILY RAINFALL,458,naive,2026-06-01 07:24:17.852000,2026-06-30 23:59:09.606000,0
trends_export_1783132819168.zip,trends_export_tmp1783132819507.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / DHI DAILY ACCUM,5887,naive,2026-06-01 06:24:03.862000,2026-06-30 14:38:24.472000,0
trends_export_1783132825322.zip,trends_export_tmp1783132825586.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / DHI MONTHLY ACCUM,403,naive,2026-06-01 07:24:17.852000,2026-06-30 14:38:24.472000,0
trends_export_1783132831152.zip,trends_export_tmp1783132831432.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / DHI YEARLY ACCUM,401,naive,2026-06-01 07:24:17.852000,2026-06-30 14:38:24.472000,0
trends_export_1783132838861.zip,trends_export_tmp1783132839288.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / DIFFUSE HORIZONTAL IRRADIANCE (DHI),14342,naive,2026-06-01 06:11:48.054000,2026-06-30 14:38:24.472000,0
trends_export_1783132844496.zip,trends_export_tmp1783132844759.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / DIRECT HORIZONTAL IRRADIANCE (DNI*cosZ),283,naive,2026-06-01 07:24:17.852000,2026-06-30 14:38:24.472000,0
trends_export_1783132852537.zip,trends_export_tmp1783132852796.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / DNI*cosZ DAILY ACCUM,281,naive,2026-06-01 07:24:17.852000,2026-06-30 14:38:24.472000,0
trends_export_1783132858197.zip,trends_export_tmp1783132858457.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / DNI*cosZ MONTHLY ACCUM,281,naive,2026-06-01 07:24:17.852000,2026-06-30 14:38:24.472000,0
trends_export_1783132863823.zip,trends_export_tmp1783132864080.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / DNI*cosZ YEARLY ACCUM,282,naive,2026-06-01 07:24:17.852000,2026-06-30 14:38:24.472000,0
trends_export_1783132874321.zip,trends_export_tmp1783132874686.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / GHI DAILY ACCUM,10583,naive,2026-06-01 07:24:17.852000,2026-06-30 17:53:33.005000,0
trends_export_1783132882016.zip,trends_export_tmp1783132882289.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / GHI MONTHLY ACCUM,567,naive,2026-06-01 07:24:17.852000,2026-06-30 17:34:57.960000,0
trends_export_1783132888557.zip,trends_export_tmp1783132888816.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / GHI YEARLY ACCUM,566,naive,2026-06-01 07:24:17.852000,2026-06-30 16:04:12.753000,0
trends_export_1783132900938.zip,trends_export_tmp1783132901457.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / GLOBAL HORIZONTAL IRRADIANCE (GHI),24182,naive,2026-06-01 07:24:17.852000,2026-06-30 18:00:11.192000,1
trends_export_1783132911984.zip,trends_export_tmp1783132912715.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / GLOBAL INCLINED IRRADIANCE (POA),47555,naive,2026-06-01 07:24:17.852000,2026-06-30 18:00:17.769000,1
trends_export_1783132920950.zip,trends_export_tmp1783132921210.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / IN-PLANE REAR-SIDE IRRADIANCE (RSI) 01,281,naive,2026-06-01 07:24:17.852000,2026-06-30 14:38:24.472000,0
trends_export_1783132926975.zip,trends_export_tmp1783132927310.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / IN-PLANE REAR-SIDE IRRADIANCE (RSI) 02,281,naive,2026-06-01 07:24:17.852000,2026-06-30 14:38:24.472000,0
trends_export_1783132934182.zip,trends_export_tmp1783132934445.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / IN-PLANE REAR-SIDE IRRADIANCE (RSI) 03,281,naive,2026-06-01 07:24:17.852000,2026-06-30 14:38:24.472000,0
trends_export_1783132944350.zip,trends_export_tmp1783132944682.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / PEAK OF SUN HOURS,6921,naive,2026-06-01 07:24:17.852000,2026-06-30 17:49:24.039000,0
trends_export_1783132951031.zip,trends_export_tmp1783132951421.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / POA DAILY ACCUM,11388,naive,2026-06-01 07:24:17.852000,2026-06-30 17:54:32.697000,0
trends_export_1783132960069.zip,trends_export_tmp1783132960335.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / POA MONTHLY ACCUM,541,naive,2026-06-01 07:24:17.852000,2026-06-30 16:46:31.502000,0
