emi,channel_key,month,days_in_data,days_with_any_event,daylight_minutes,daylight_coverage_strict,daylight_coverage_zoh
EMI01,DHI,2024-12,11,0,8013,0,0
EMI01,DHI,2025-01,31,20,22568,0.53704360156,0.595932293513
EMI01,DHI,2025-02,28,28,20330,0.888883423512,0.978799803246
EMI01,DHI,2025-03,31,31,22464,0.87869480057,0.971910612536
EMI01,DHI,2025-04,30,30,21693,0.889549624303,0.976674503296
EMI01,DHI,2025-05,31,31,22383,0.8853147478,0.979538042264
EMI01,DHI,2025-06,30,29,21648,0.825526607539,0.90317812269
EMI01,DHI,2025-07,31,31,22375,0.900201117318,0.978055865922
EMI01,DHI,2025-08,31,31,22401,0.841926699701,0.920807106826
EMI01,DHI,2025-09,30,30,21718,0.908555115572,0.981720232066
EMI01,DHI,2025-10,31,31,22496,0.890736130868,0.982574679943
EMI01,DHI,2025-11,30,30,21826,0.889718684138,0.978053697425
EMI01,DHI,2025-12,31,31,22581,0.868030645233,0.973827554138
EMI01,DHI,2026-01,31,31,22568,0.871277915633,0.948466855725
EMI01,DHI,2026-02,28,28,20332,0.871926027936,0.972604760968
EMI01,DHI,2026-03,31,31,22463,0.895517072519,0.980501268753
EMI01,DHI,2026-04,30,29,21694,0.795381211395,0.905734304416
EMI01,DHI,2026-05,31,24,22383,0.588348300049,0.699861502033
EMI01,DHI,2026-06,30,30,21648,0.290558019217,0.383638211382
EMI01,DNIcosZ,2024-12,11,0,8013,0,0
EMI01,DNIcosZ,2025-01,31,19,22568,0.255716058135,0.331265508685
EMI01,DNIcosZ,2025-02,28,28,20330,0.417658632563,0.537924249877
EMI01,DNIcosZ,2025-03,31,29,22464,0.38051994302,0.480279558405
EMI01,DNIcosZ,2025-04,30,26,21693,0.0454985479187,0.0857880422256
EMI01,DNIcosZ,2025-05,31,25,22383,0.0186302104276,0.0545056516106
EMI01,DNIcosZ,2025-06,30,13,21648,0.00415742793792,0.0180617147081
EMI01,DNIcosZ,2025-07,31,22,22375,0.0181899441341,0.0369162011173
EMI01,DNIcosZ,2025-08,31,23,22401,0.0434802017767,0.0867371992322
EMI01,DNIcosZ,2025-09,30,30,21718,0.0569113178009,0.142186204991
EMI01,DNIcosZ,2025-10,31,30,22496,0.226484708393,0.374777738265
EMI01,DNIcosZ,2025-11,30,30,21826,0.187253734079,0.336067075964
EMI01,DNIcosZ,2025-12,31,31,22581,0.164341703202,0.311943669457
EMI01,DNIcosZ,2026-01,31,31,22568,0.237548741581,0.368486352357
EMI01,DNIcosZ,2026-02,28,19,20332,0.103777296872,0.150255754476
EMI01,DNIcosZ,2026-03,31,4,22463,0.000222588256244,0.00249298846993
EMI01,DNIcosZ,2026-04,30,0,21694,0,0
EMI01,DNIcosZ,2026-05,31,10,22383,0.00156368672653,0.0192110083546
EMI01,DNIcosZ,2026-06,30,30,21648,0.00540465631929,0.0709072431633
EMI01,GHI,2024-12,11,0,8013,0,0
EMI01,GHI,2025-01,31,20,22568,0.54922899681,0.596065225097
EMI01,GHI,2025-02,28,28,20330,0.909001475652,0.978848991638
EMI01,GHI,2025-03,31,31,22464,0.89525462963,0.973246082621
EMI01,GHI,2025-04,30,30,21693,0.898769188217,0.977227677131
EMI01,GHI,2025-05,31,31,22383,0.902336594737,0.980342224009
EMI01,GHI,2025-06,30,29,21648,0.832363266814,0.904517738359
EMI01,GHI,2025-07,31,31,22375,0.910659217877,0.978905027933
EMI01,GHI,2025-08,31,31,22401,0.846301504397,0.922280255346
EMI01,GHI,2025-09,30,30,21718,0.910166682015,0.982779261442
EMI01,GHI,2025-10,31,31,22496,0.8963371266,0.983552631579
EMI01,GHI,2025-11,30,30,21826,0.900668926968,0.97842023275
EMI01,GHI,2025-12,31,31,22581,0.884017536867,0.97679465037
EMI01,GHI,2026-01,31,31,22568,0.857408720312,0.933844381425
EMI01,GHI,2026-02,28,28,20332,0.880631516821,0.97378516624
EMI01,GHI,2026-03,31,31,22463,0.906691002983,0.980501268753
EMI01,GHI,2026-04,30,26,21694,0.738453028487,0.812113948557
EMI01,GHI,2026-05,31,24,22383,0.378992985748,0.43734083903
EMI01,GHI,2026-06,30,30,21648,0.504388396157,0.662832594235
EMI01,POA,2024-12,11,0,8013,0,0
EMI01,POA,2025-01,31,20,22568,0.539392059553,0.593096419709
EMI01,POA,2025-02,28,28,20330,0.895081160846,0.974569601574
EMI01,POA,2025-03,31,31,22464,0.875578703704,0.96785968661
EMI01,POA,2025-04,30,30,21693,0.878071267229,0.972802286452
EMI01,POA,2025-05,31,31,22383,0.868650314971,0.975517133539
EMI01,POA,2025-06,30,17,21648,0.45828713969,0.512934220251
EMI01,POA,2025-07,31,1,22375,0,0
EMI01,POA,2025-08,31,5,22401,0.000892817284943,0.00946386322039
EMI01,POA,2025-09,30,25,21718,0.0253246155263,0.0709549682291
EMI01,POA,2025-10,31,31,22496,0.586059743954,0.680698790896
EMI01,POA,2025-11,30,28,21826,0.00705580500321,0.0947951983872
