emi,channel_key,event_count,first_event,last_event,max_gap_s,interarrival_p50_s,interarrival_p90_s,interarrival_p99_s,gaps_gt_5min,gaps_gt_30min,gaps_gt_6h,gaps_gt_24h,gaps_gt_3d
EMI01,DHI,1394741,2025-01-12 21:08:24.002,2026-06-30 14:38:24.472,698821.195,9.92,29.728,98.93561,1438,647,528,5,1
EMI01,DNIcosZ,389150,2025-01-12 21:08:24.002,2026-06-30 14:38:24.472,5511105.982,6.577,9.967,76.377,2056,1084,419,62,9
EMI01,GHI,1525284,2025-01-12 21:08:24.002,2026-06-30 18:00:11.192,698807.916,9.904,26.432,89.06118,1397,627,525,9,2
EMI01,POA,706117,2025-01-12 21:08:24.002,2026-06-30 18:00:17.769,5511105.982,6.608,19.949,88.671,1202,735,357,30,6
EMI01,RSI_01,302626,2025-01-12 21:08:24.002,2026-06-30 14:38:24.472,5511105.982,9.935,69.349,406.22996,4716,875,439,14,3
EMI01,RSI_02,306459,2025-01-12 21:08:24.002,2026-06-30 14:38:24.472,5511105.982,9.92,69.0013,406.0413,4748,873,439,14,3
EMI01,RSI_03,291655,2025-01-12 21:08:24.002,2026-06-30 14:38:24.472,5511105.983,9.951,72.598,424.00976,4824,878,438,14,3
EMI02,DHI,584067,2025-01-12 21:08:38.799,2026-06-30 18:00:47.669,5511093.752,23.104,46.147,126.5655,1075,501,423,12,3
EMI02,DNIcosZ,148940,2025-01-12 21:08:38.799,2026-06-30 14:38:25.113,5511093.752,23.058,36.259,518.35262,1972,896,405,40,3
EMI02,GHI,616701,2025-01-12 21:08:38.799,2026-06-30 18:00:57.558,5511093.752,23.09,42.913,112.27003,1078,499,423,12,3
EMI02,POA,616695,2025-01-15 08:00:12.448,2026-06-30 18:01:20.647,5511093.752,23.09,42.899,112.182,1038,496,420,11,3
EMI02,RSI_01,181829,2025-01-12 21:08:38.799,2026-06-30 16:28:03.064,5511093.752,26.37,135.283,630.43065,5561,713,427,14,3
EMI02,RSI_02,177606,2025-01-12 21:08:38.799,2026-06-30 16:26:53.766,5511093.767,26.354,125.3786,604.30308,4919,724,426,16,3
EMI02,RSI_03,177371,2025-01-12 21:08:38.799,2026-06-30 16:28:03.064,5511093.751,26.354,128.6322,604.51966,4968,712,425,16,3
EMI03,DHI,771612,2025-01-12 21:08:38.799,2026-06-30 18:01:33.817,587955.996,23.105,46.143,118.807,1289,581,524,5,1
EMI03,DNIcosZ,52265,2025-01-15 08:18:47.689,2026-06-30 14:38:23.957,6229083.395,23.042,39.6073,1161.01846,845,455,191,55,25
EMI03,GHI,605936,2025-01-12 21:08:23.720,2026-06-30 18:00:21.346,4736350.561,23.12,46.194,118.94024,1135,482,425,7,4
EMI03,POA,75221,2025-01-12 21:08:23.720,2026-06-30 14:38:23.957,12132973.251,23.027,44.897,143.60561,361,231,117,21,11
EMI03,RSI_01,1054,2025-01-12 21:08:23.720,2026-06-30 14:38:23.957,12132973.251,556.556,30098.4922,168294.95116,565,429,117,20,10
EMI03,RSI_02,80683,2025-01-12 21:08:38.799,2026-06-30 14:38:23.957,12132973.251,23.151,128.6613,711.43807,2462,440,243,21,7
EMI03,RSI_03,3451,2025-01-12 21:08:23.720,2026-06-30 14:38:23.957,12132973.251,115.118,3050.7923,61497.77596,1331,506,117,20,10
EMI04,DHI,812707,2025-01-15 08:00:12.854,2026-06-30 17:58:41.647,217316.597,23.063,42.923,122.20365,1344,575,528,2,0
EMI04,DNIcosZ,118747,2025-01-12 20:26:22.451,2026-06-30 14:41:12.423,428373.668,19.824,39.43,1749.7801,2205,1176,474,76,3
EMI04,GHI,851957,2025-01-12 20:26:22.451,2026-06-30 17:59:27.841,217290.321,23.057,42.865,109.027,1287,574,529,2,0
EMI04,POA,558912,2025-01-12 20:26:22.451,2026-05-22 09:22:53.170,5804451.902,23.058,42.867,117.1336,925,397,357,5,3
EMI04,RSI_01,72516,2025-01-15 10:15:52.812,2026-05-22 09:22:53.170,8845348.16,23.139,134.743,2569.96848,2704,841,315,30,4
EMI04,RSI_02,100485,2025-01-12 20:26:22.451,2026-05-22 09:22:53.171,5809059.536,24.105,135.3347,1383.16503,3621,861,354,19,3
EMI04,RSI_03,160829,2025-01-12 20:26:22.451,2026-06-30 16:22:39.941,244303.359,23.153,138.1143,1112.33206,5867,1174,522,22,0
EMI05,GHI,4287019,2024-12-21 19:33:52.096,2026-06-30 23:52:08.111,13501369.551,1.531,4.484,15.653,1562,753,258,18,6
