emi,channel_key,start_date,end_date,n_days
EMI01,DHI,2024-12-21,2025-01-12,23
EMI01,DHI,2026-05-14,2026-05-20,7
EMI01,DNIcosZ,2024-12-21,2025-01-12,23
EMI01,DNIcosZ,2025-06-09,2025-06-11,3
EMI01,DNIcosZ,2025-06-18,2025-06-21,4
EMI01,DNIcosZ,2025-06-23,2025-06-26,4
EMI01,DNIcosZ,2025-06-30,2025-07-02,3
EMI01,DNIcosZ,2026-02-19,2026-02-25,7
EMI01,DNIcosZ,2026-02-27,2026-03-02,4
EMI01,DNIcosZ,2026-03-04,2026-03-12,9
EMI01,DNIcosZ,2026-03-16,2026-05-20,66
EMI01,GHI,2024-12-21,2025-01-12,23
EMI01,GHI,2026-04-13,2026-04-16,4
EMI01,GHI,2026-05-14,2026-05-20,7
EMI01,POA,2024-12-21,2025-01-12,23
EMI01,POA,2025-06-19,2025-08-25,68
EMI01,POA,2025-09-02,2025-09-04,3
EMI01,POA,2026-01-28,2026-03-12,44
EMI01,POA,2026-03-14,2026-05-20,68
EMI01,RSI_01,2024-12-21,2025-01-12,23
EMI01,RSI_01,2026-01-28,2026-03-12,44
EMI01,RSI_01,2026-03-14,2026-05-20,68
EMI01,RSI_02,2024-12-21,2025-01-12,23
EMI01,RSI_02,2026-01-28,2026-03-12,44
EMI01,RSI_02,2026-03-14,2026-05-20,68
EMI01,RSI_03,2024-12-21,2025-01-12,23
EMI01,RSI_03,2026-01-28,2026-03-12,44
EMI01,RSI_03,2026-03-14,2026-05-20,68
EMI02,DHI,2024-12-21,2025-01-13,24
EMI02,DHI,2026-02-01,2026-03-12,40
EMI02,DHI,2026-03-14,2026-05-20,68
EMI02,DNIcosZ,2024-12-21,2025-01-13,24
EMI02,DNIcosZ,2026-01-22,2026-03-12,50
EMI02,DNIcosZ,2026-03-14,2026-05-20,68
EMI02,GHI,2024-12-21,2025-01-13,24
EMI02,GHI,2026-02-01,2026-03-12,40
EMI02,GHI,2026-03-14,2026-05-20,68
EMI02,POA,2024-12-21,2025-01-14,25
EMI02,POA,2026-02-01,2026-03-12,40
EMI02,POA,2026-03-14,2026-05-20,68
EMI02,RSI_01,2024-12-21,2025-01-13,24
EMI02,RSI_01,2026-02-01,2026-03-12,40
EMI02,RSI_01,2026-03-14,2026-05-20,68
EMI02,RSI_02,2024-12-21,2025-01-13,24
EMI02,RSI_02,2026-02-01,2026-03-12,40
EMI02,RSI_02,2026-03-14,2026-05-20,68
EMI02,RSI_03,2024-12-21,2025-01-13,24
EMI02,RSI_03,2026-02-01,2026-03-12,40
EMI02,RSI_03,2026-03-14,2026-05-20,68
EMI03,DHI,2024-12-21,2025-01-13,24
EMI03,DHI,2025-07-18,2025-07-23,6
EMI03,DNIcosZ,2024-12-21,2025-01-14,25
EMI03,DNIcosZ,2025-03-06,2025-03-13,8
EMI03,DNIcosZ,2025-03-15,2025-04-14,31
EMI03,DNIcosZ,2025-04-16,2025-06-24,70
EMI03,DNIcosZ,2025-08-09,2025-08-13,5
EMI03,DNIcosZ,2025-08-15,2025-08-17,3
EMI03,DNIcosZ,2025-08-21,2025-08-23,3
EMI03,DNIcosZ,2025-09-09,2025-09-15,7
EMI03,DNIcosZ,2025-09-17,2025-09-24,8
EMI03,DNIcosZ,2025-09-29,2025-10-03,5
EMI03,DNIcosZ,2025-10-05,2025-10-18,14
EMI03,DNIcosZ,2025-11-01,2025-11-03,3
EMI03,DNIcosZ,2025-11-09,2025-11-28,20
EMI03,DNIcosZ,2025-11-30,2025-12-04,5
EMI03,DNIcosZ,2025-12-06,2026-02-14,71
EMI03,DNIcosZ,2026-02-16,2026-02-20,5
EMI03,DNIcosZ,2026-02-24,2026-03-03,8
EMI03,DNIcosZ,2026-03-07,2026-03-12,6
EMI03,DNIcosZ,2026-03-18,2026-04-06,20
EMI03,DNIcosZ,2026-04-08,2026-04-11,4
EMI03,DNIcosZ,2026-04-13,2026-05-01,19
EMI03,DNIcosZ,2026-05-05,2026-05-16,12
EMI03,DNIcosZ,2026-05-18,2026-05-20,3
EMI03,GHI,2024-12-21,2025-01-13,24
EMI03,GHI,2025-03-06,2025-03-13,8
EMI03,GHI,2025-03-15,2025-04-14,31
EMI03,GHI,2025-04-16,2025-06-23,69
EMI03,POA,2024-12-21,2025-01-13,24
EMI03,POA,2025-03-06,2025-03-13,8
EMI03,POA,2025-03-15,2025-04-14,31
EMI03,POA,2025-04-16,2025-06-24,70
EMI03,POA,2025-06-26,2025-08-25,61
EMI03,POA,2025-09-02,2025-09-04,3
EMI03,POA,2025-09-09,2025-09-15,7
EMI03,POA,2025-09-17,2025-10-23,37
EMI03,POA,2025-10-25,2026-03-12,139
EMI03,POA,2026-03-14,2026-05-20,68
EMI03,RSI_01,2024-12-21,2025-01-13,24
EMI03,RSI_01,2025-03-06,2025-03-13,8
EMI03,RSI_01,2025-03-15,2025-04-14,31
EMI03,RSI_01,2025-04-16,2025-08-25,132
EMI03,RSI_01,2025-09-02,2025-09-04,3
EMI03,RSI_01,2025-09-09,2025-09-15,7
EMI03,RSI_01,2025-09-17,2025-10-23,37
EMI03,RSI_01,2025-10-25,2026-03-12,139
EMI03,RSI_01,2026-03-14,2026-05-20,68
EMI03,RSI_02,2024-12-21,2025-01-13,24
EMI03,RSI_02,2025-07-17,2025-08-25,40
EMI03,RSI_02,2025-09-02,2025-09-04,3
EMI03,RSI_02,2025-09-09,2025-09-15,7
EMI03,RSI_02,2025-09-17,2025-10-23,37
EMI03,RSI_02,2025-10-25,2026-03-12,139
EMI03,RSI_02,2026-03-14,2026-05-20,68
EMI03,RSI_03,2024-12-21,2025-01-13,24
EMI03,RSI_03,2025-03-06,2025-03-13,8
EMI03,RSI_03,2025-03-15,2025-04-14,31
EMI03,RSI_03,2025-04-16,2025-08-25,132
EMI03,RSI_03,2025-09-02,2025-09-04,3
EMI03,RSI_03,2025-09-09,2025-09-15,7
EMI03,RSI_03,2025-09-17,2025-10-23,37
EMI03,RSI_03,2025-10-25,2026-03-12,139
EMI03,RSI_03,2026-03-14,2026-05-20,68
EMI04,DHI,2024-12-21,2025-01-14,25
EMI04,DNIcosZ,2024-12-21,2025-01-12,23
EMI04,DNIcosZ,2026-01-04,2026-01-06,3
EMI04,DNIcosZ,2026-01-09,2026-01-11,3
EMI04,DNIcosZ,2026-01-30,2026-02-02,4
EMI04,GHI,2024-12-21,2025-01-12,23
EMI04,POA,2024-12-21,2025-01-12,23
EMI04,POA,2026-01-06,2026-03-12,66
EMI04,POA,2026-03-14,2026-05-20,68
EMI04,POA,2026-05-23,2026-06-30,39
EMI04,RSI_01,2024-12-21,2025-01-14,25
EMI04,RSI_01,2025-09-02,2025-09-04,3
