source_scope,emi,method,frequency,staleness_s,population,classification,machine_atol_wm2,quantization_atol_wm2,deadband_atol_wm2,sample_count,mean_wm2,median_wm2,std_wm2,mae_wm2,rmse_wm2,p01_wm2,p05_wm2,p50_wm2,p95_wm2,p99_wm2,max_abs_wm2,proportion_below_machine,proportion_below_quantization,proportion_below_deadband
historical_xlsx,EMI01,direct_coincident,,,all,measured,5.31485966349e-12,2,4,129539,-0.337025914975,36,138.150971813,97.421178178,138.151382908,-409,-289,36,144,300,1090,0.00521850562379,0.0168675070828,0.0286863415651
historical_xlsx,EMI01,direct_coincident,,,active_components,measured,5.31485966349e-12,2,4,128951,-0.778784189343,36,137.468968387,97.4181898551,137.471174339,-410,-290,36,143,293,1071,0.00297787531698,0.014137152872,0.0256996843762
historical_xlsx,EMI01,direct_coincident,,,night_flat,measured,5.31485966349e-12,2,4,588,96.5425170068,0,225.567553033,98.0765306122,245.359284665,-23.52,-2,0,714,959.65,1090,0.496598639456,0.615646258503,0.683673469388
historical_xlsx,EMI01,direct_coincident,,,daylight_provisional,measured,5.31485966349e-12,2,4,129359,-0.337494878594,36,138.247054739,97.5567374516,138.247466692,-409,-290,36,144,300,1090,0.00383429061758,0.0154995013876,0.0273347814995
historical_xlsx,EMI01,aligned_backward,1min,60,all,measured,5.31485966349e-12,2,4,46298,5.45420968508,32,128.078438068,83.3105749708,128.194518999,-411,-272,32,134,290,1090,0.0086396820597,0.029806903106,0.049786167869
historical_xlsx,EMI01,aligned_backward,1min,60,active_components,measured,5.31485966349e-12,2,4,45563,4.7701204925,32,127.291240987,83.8532361785,127.380587538,-412.38,-274,32,133,280,1010,0.00412615499418,0.0215525755547,0.0398349538002
historical_xlsx,EMI01,aligned_backward,1min,60,night_flat,measured,5.31485966349e-12,2,4,735,47.8612244898,1,164.433680136,49.6707482993,171.257501946,-13,-6,1,375.3,891.54,1090,0.28843537415,0.541496598639,0.666666666667
historical_xlsx,EMI01,aligned_backward,1min,60,daylight_provisional,measured,5.31485966349e-12,2,4,46201,5.46566091643,32,128.212575217,83.4854873271,128.329022022,-411,-273,32,134,290,1090,0.0065582996039,0.0277699616891,0.0477911733512
historical_xlsx,EMI01,aligned_backward,1min,120,all,measured,5.31485966349e-12,2,4,50915,8.37971128351,30,126.759328687,80.3312776196,127.03600659,-408,-263,30,135,312.86,1122,0.0120003928115,0.0366885986448,0.0594520278896
historical_xlsx,EMI01,aligned_backward,1min,120,active_components,measured,5.31485966349e-12,2,4,49712,7.29739298359,31,125.179354217,80.9504747345,125.391876398,-410,-266,31,133,291,1010,0.00448583842935,0.0235959124557,0.0440537495977
historical_xlsx,EMI01,aligned_backward,1min,120,night_flat,measured,5.31485966349e-12,2,4,1203,53.1047381546,1,174.551516053,54.7439733998,182.450938531,-13,-5,1,420.4,905.86,1122,0.322527015794,0.577722360765,0.695760598504
historical_xlsx,EMI01,aligned_backward,1min,120,daylight_provisional,measured,5.31485966349e-12,2,4,50743,8.40811540508,31,126.973040109,80.6035709359,127.251126986,-409,-264,31,135,313,1122,0.00865143960743,0.0334233293262,0.0562639181759
historical_xlsx,EMI01,aligned_backward,1min,300,all,measured,5.31485966349e-12,2,4,58525,12.2722255446,28,127.854358013,77.2809226826,128.441988395,-407,-250,28,142,362,1252,0.0199231097821,0.0502520290474,0.0776932934643
historical_xlsx,EMI01,aligned_backward,1min,300,active_components,measured,5.31485966349e-12,2,4,56192,10.1440418565,29,124.254365677,77.7934225513,124.667754351,-409,-255,29,137,317,1010,0.00521426537585,0.0266408029613,0.0507545558087
historical_xlsx,EMI01,aligned_backward,1min,300,night_flat,measured,5.31485966349e-12,2,4,2333,63.531075868,1,188.335155326,64.9369909987,198.761989154,-20.68,-3.4,1,513.4,924.84,1252,0.374196313759,0.618945563652,0.726532361766
historical_xlsx,EMI01,aligned_backward,1min,300,daylight_provisional,measured,5.31485966349e-12,2,4,58132,12.3551916328,28,128.281812919,77.8033785179,128.875421575,-407,-251,28,142,363,1252,0.0132973233331,0.043831280534,0.0714580609647
historical_xlsx,EMI01,aligned_backward,1min,900,all,measured,5.31485966349e-12,2,4,74685,19.1242150365,24,134.729983385,74.6454308094,136.080505671,-405,-226,24,165,460,1252,0.0384280645377,0.0811541808931,0.116837383678
historical_xlsx,EMI01,aligned_backward,1min,900,active_components,measured,5.31485966349e-12,2,4,68948,14.3332366421,26,125.353098637,74.362011951,126.169889477,-411,-239,26,148,364,1095,0.0067007019783,0.0338225909381,0.0648604745605
historical_xlsx,EMI01,aligned_backward,1min,900,night_flat,measured,5.31485966349e-12,2,4,5737,76.7028063448,1,209.452752047,78.0515949102,223.055544296,-26.64,-1,1,621.6,946,1252,0.419731567021,0.649991284644,0.741502527453
historical_xlsx,EMI01,aligned_backward,1min,900,daylight_provisional,measured,5.31485966349e-12,2,4,73562,19.4161659552,25,135.73360482,75.7849705011,137.115276238,-406,-229,25,168,462,1252,0.0237486745874,0.0671270492918,0.103354993067
historical_xlsx,EMI02,direct_coincident,,,all,measured,5.51736434318e-12,1.5,3,105225,64.2562984082,56,74.9163328926,66.7270610596,98.6981702931,-28,-1,56,137,372,1032,0.00654787360418,0.016241387503,0.0338607745308
